REGION,DEPARTEMENT
ILE-DE-FRANCE,VAL-DE-MARNE
ILE-DE-FRANCE,SEINE-ET-MARNE
PAYS DE LA LOIRE,MAINE-ET-LOIRE
ILE-DE-FRANCE,VAL-D'OISE
HAUTS-DE-FRANCE,PAS-DE-CALAIS
GRAND-EST,MARNE
HAUTS-DE-FRANCE,SOMME
HAUTS-DE-FRANCE,OISE
HAUTS-DE-FRANCE,NORD
HAUTS-DE-FRANCE,AISNE
GRAND-EST,ARDENNES
ILE-DE-FRANCE,ESSONNE
NOUVELLE-CALEDONIE,NOUVELLE-CALEDONIE
NORMANDIE,EURE
ILE-DE-FRANCE,HAUTS-DE-SEINE
AUVERGNE-RHONE-ALPES,HAUTE-SAVOIE
BOURGOGNE-FRANCHE-COMTE,SAONE-ET-LOIRE
CENTRE-VAL DE LOIRE,EURE-ET-LOIR
OCCITANIE,HAUTE-GARONNE
