STRUCTURE,DEPARTEMENT
U.S CRETEIL NATATION,VAL-DE-MARNE
C.N OZOIR-LA-FERRIERE,SEINE-ET-MARNE
ANGERS NATATION,MAINE-ET-LOIRE
CANETON CLUB DE BEAUMONT,VAL-D'OISE
CN COURRIÈRES,PAS-DE-CALAIS
STADE DE REIMS NATATION,MARNE
SC ABBEVILLOIS NATATION TRIATHLON,SOMME
P.V GRANDVILLIERS NATATION,OISE
MARCQ NATATION,NORD
AAS SARCELLES NATATION 95,VAL-D'OISE
AMIENS METROPOLE NAT.,SOMME
BEAUVAISIS AQUATIC CLUB,OISE
DENAIN NAT. PORTE DU HAINAUT,NORD
SOISSONS NATATION SPORTIVE,AISNE
RACING CLUB ARRAS,PAS-DE-CALAIS
PELICAN CLUB DE VALENCIENNES,NORD
CN VOUZIERS,ARDENNES
ES MASSY NATATION,ESSONNE
DUMBEA NATATION,NOUVELLE-CALÉDONIE
ARDENNES RIVES DE MEUSE NATATION,ARDENNES
EN LOUVIERS,EURE
DAUPHINS ST-OMER,PAS-DE-CALAIS
AAE PÉRONNE,SOMME
CS CLICHY 92,HAUTS-DE-SEINE
DAUPHINS D'ANNECY,HAUTE-SAVOIE
STADE DE VANVES,HAUTS-DE-SEINE
EA NOGENT-VILLERS,OISE
CN CHALON-SUR-SAONE,SAÔNE-ET-LOIRE
JN COMPIÈGNE,OISE
ASN BONNEVAL,EURE-ET-LOIR
ALBERT SPORT NATATION,SOMME
CLAMART NATATION 92,HAUTS-DE-SEINE
ASPTT TOULOUSE,HAUTE-GARONNE
NEPTUNE AQUA CLUB VERTUS,MARNE
HIPPOCAMPES HAUTMONT,NORD
ENC ACHICOURT,PAS-DE-CALAIS
